  0%|                                                                                                                                                                                                                                                                               | 0/675 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                                                                                                            
{'loss': 1.5292, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.0}
{'loss': 0.3223, 'learning_rate': 0.0001977746300605507, 'epoch': 0.29}
{'loss': 0.1727, 'learning_rate': 0.00019767272604239824, 'epoch': 0.29}
{'loss': 0.1693, 'learning_rate': 0.00019756856821724966, 'epoch': 0.3}
{'loss': 0.2399, 'learning_rate': 0.0001974621589885563, 'epoch': 0.3}
{'loss': 0.2314, 'learning_rate': 0.00019735350081172067, 'epoch': 0.31}
{'loss': 0.1442, 'learning_rate': 0.0001972425961940401, 'epoch': 0.31}
{'loss': 0.3151, 'learning_rate': 0.00019712944769464862, 'epoch': 0.32}
{'loss': 0.1196, 'learning_rate': 0.00019701405792445814, 'epoch': 0.32}
{'loss': 0.0864, 'learning_rate': 0.00019689642954609808, 'epoch': 0.32}
{'loss': 0.0416, 'learning_rate': 0.00019677656527385384, 'epoch': 0.33}
{'loss': 0.0452, 'learning_rate': 0.0001966544678736044, 'epoch': 0.33}
{'loss': 0.2304, 'learning_rate': 0.00019653014016275837, 'epoch': 0.34}
{'loss': 0.0147, 'learning_rate': 0.00019640358501018886, 'epoch': 0.34}
{'loss': 0.0422, 'learning_rate': 0.0001962748053361675, 'epoch': 0.35}
{'loss': 0.2553, 'learning_rate': 0.00019614380411229693, 'epoch': 0.35}
{'loss': 0.0069, 'learning_rate': 0.00019601058436144225, 'epoch': 0.36}
{'loss': 0.0057, 'learning_rate': 0.00019587514915766124, 'epoch': 0.36}
{'loss': 0.0059, 'learning_rate': 0.00019573750162613353, 'epoch': 0.36}
{'loss': 0.001, 'learning_rate': 0.00019559764494308837, 'epoch': 0.37}
{'loss': 0.0011, 'learning_rate': 0.00019545558233573134, 'epoch': 0.37}
{'loss': 0.0009, 'learning_rate': 0.00019531131708217005, 'epoch': 0.38}
{'loss': 0.1615, 'learning_rate': 0.00019516485251133822, 'epoch': 0.38}
{'loss': 0.0015, 'learning_rate': 0.00019501619200291908, 'epoch': 0.39}
{'loss': 0.0056, 'learning_rate': 0.00019486533898726736, 'epoch': 0.39}
{'loss': 0.0008, 'learning_rate': 0.00019471229694533002, 'epoch': 0.4}
{'loss': 0.0009, 'learning_rate': 0.000194557069408566, 'epoch': 0.4}
{'loss': 0.0135, 'learning_rate': 0.0001943996599588649, 'epoch': 0.4}
{'loss': 0.0011, 'learning_rate': 0.00019424007222846386, 'epoch': 0.41}
{'loss': 0.0019, 'learning_rate': 0.0001940783098998643, 'epoch': 0.41}
{'loss': 0.0013, 'learning_rate': 0.00019391437670574657, 'epoch': 0.42}
{'loss': 0.006, 'learning_rate': 0.00019374827642888398, 'epoch': 0.42}
{'loss': 0.009, 'learning_rate': 0.00019358001290205543, 'epoch': 0.43}
{'loss': 0.005, 'learning_rate': 0.00019340959000795706, 'epoch': 0.43}
{'loss': 0.0022, 'learning_rate': 0.00019323701167911259, 'epoch': 0.44}
{'loss': 0.0008, 'learning_rate': 0.00019306228189778254, 'epoch': 0.44}
{'loss': 0.0012, 'learning_rate': 0.0001928854046958725, 'epoch': 0.44}
{'loss': 0.0016, 'learning_rate': 0.0001927063841548398, 'epoch': 0.45}
{'loss': 0.0012, 'learning_rate': 0.00019252522440559977, 'epoch': 0.45}
{'loss': 0.0008, 'learning_rate': 0.00019234192962842993, 'epoch': 0.46}
{'loss': 0.0023, 'learning_rate': 0.0001921565040528739, 'epoch': 0.46}
{'loss': 0.0153, 'learning_rate': 0.00019196895195764362, 'epoch': 0.47}
{'loss': 0.0037, 'learning_rate': 0.00019177927767052066, 'epoch': 0.47}
{'loss': 0.0031, 'learning_rate': 0.00019158748556825637, 'epoch': 0.48}
{'loss': 0.0016, 'learning_rate': 0.00019139358007647084, 'epoch': 0.48}
{'loss': 0.0005, 'learning_rate': 0.0001911975656695509, 'epoch': 0.48}
{'loss': 0.0004, 'learning_rate': 0.00019099944687054672, 'epoch': 0.49}
{'loss': 0.3214, 'learning_rate': 0.0001907992282510675, 'epoch': 0.49}
{'loss': 5.0047, 'learning_rate': 0.00019059691443117603, 'epoch': 0.5}
{'loss': 5.1401, 'learning_rate': 0.000190392510079282, 'epoch': 0.5}
{'loss': 1.9804, 'learning_rate': 0.0001901860199120344, 'epoch': 0.51}
{'loss': 1.5677, 'learning_rate': 0.00018997744869421246, 'epoch': 0.51}
{'loss': 3.8322, 'learning_rate': 0.0001897668012386159, 'epoch': 0.52}
{'loss': 2.3826, 'learning_rate': 0.00018955408240595395, 'epoch': 0.52}
{'loss': 2.9504, 'learning_rate': 0.00018933929710473278, 'epoch': 0.52}
{'loss': 7.1163, 'learning_rate': 0.0001891224502911428, 'epoch': 0.53}
{'loss': 6.1799, 'learning_rate': 0.00018890354696894375, 'epoch': 0.53}
{'loss': 7.0843, 'learning_rate': 0.00018868259218934966, 'epoch': 0.54}
{'loss': 7.5414, 'learning_rate': 0.00018845959105091208, 'epoch': 0.54}
{'loss': 5.5207, 'learning_rate': 0.00018823454869940242, 'epoch': 0.55}
{'loss': 6.1468, 'learning_rate': 0.00018800747032769342, 'epoch': 0.55}
{'loss': 7.3929, 'learning_rate': 0.00018777836117563892, 'epoch': 0.56}
{'loss': 6.1938, 'learning_rate': 0.00018754722652995347, 'epoch': 0.56}
{'loss': 5.0351, 'learning_rate': 0.0001873140717240899, 'epoch': 0.56}
{'loss': 6.7843, 'learning_rate': 0.00018707890213811643, 'epoch': 0.57}
{'loss': 3.118, 'learning_rate': 0.0001868417231985926, 'epoch': 0.57}
{'loss': 7.4659, 'learning_rate': 0.00018660254037844388, 'epoch': 0.58}
{'loss': 5.8155, 'learning_rate': 0.0001863613591968355, 'epoch': 0.58}
{'loss': 5.6341, 'learning_rate': 0.00018611818521904508, 'epoch': 0.59}
{'loss': 6.1987, 'learning_rate': 0.00018587302405633418, 'epoch': 0.59}
{'loss': 5.1658, 'learning_rate': 0.0001856258813658188, 'epoch': 0.6}
{'loss': 5.2793, 'learning_rate': 0.00018537676285033887, 'epoch': 0.6}
{'loss': 3.4624, 'learning_rate': 0.00018512567425832673, 'epoch': 0.6}
{'loss': 7.3255, 'learning_rate': 0.0001848726213836744, 'epoch': 0.61}
{'loss': 4.1424, 'learning_rate': 0.0001846176100655998, 'epoch': 0.61}
{'loss': 5.3469, 'learning_rate': 0.00018436064618851226, 'epoch': 0.62}
{'loss': 4.7652, 'learning_rate': 0.00018410173568187647, 'epoch': 0.62}
{'loss': 6.0585, 'learning_rate': 0.00018384088452007578, 'epoch': 0.63}
{'loss': 5.2631, 'learning_rate': 0.00018357809872227438, 'epoch': 0.63}
{'loss': 5.6705, 'learning_rate': 0.00018331338435227838, 'epoch': 0.64}
{'loss': 7.1591, 'learning_rate': 0.0001830467475183958, 'epoch': 0.64}
{'loss': 4.6919, 'learning_rate': 0.00018277819437329576, 'epoch': 0.64}
{'loss': 4.6725, 'learning_rate': 0.00018250773111386633, 'epoch': 0.65}
{'loss': 4.0996, 'learning_rate': 0.00018223536398107176, 'epoch': 0.65}
{'loss': 5.7511, 'learning_rate': 0.0001819610992598083, 'epoch': 0.66}
{'loss': 5.7416, 'learning_rate': 0.00018168494327875918, 'epoch': 0.66}
{'loss': 2.903, 'learning_rate': 0.00018140690241024872, 'epoch': 0.67}
{'loss': 1.9038, 'learning_rate': 0.00018112698307009507, 'epoch': 0.67}
{'loss': 6.0629, 'learning_rate': 0.0001808451917174624, 'epoch': 0.68}
{'loss': 4.764, 'learning_rate': 0.00018056153485471166, 'epoch': 0.68}
{'loss': 4.791, 'learning_rate': 0.00018027601902725063, 'epoch': 0.68}
{'loss': 3.1308, 'learning_rate': 0.0001799886508233829, 'epoch': 0.69}
{'loss': 2.5318, 'learning_rate': 0.00017969943687415576, 'epoch': 0.69}
{'loss': 5.0907, 'learning_rate': 0.00017940838385320732, 'epoch': 0.7}
{'loss': 5.4971, 'learning_rate': 0.00017911549847661235, 'epoch': 0.7}
{'loss': 3.227, 'learning_rate': 0.00017882078750272742, 'epoch': 0.71}
{'loss': 3.1803, 'learning_rate': 0.000178524257732035, 'epoch': 0.71}
{'loss': 5.5376, 'learning_rate': 0.0001782259160069863, 'epoch': 0.72}
{'loss': 5.7336, 'learning_rate': 0.00017792576921184372, 'epoch': 0.72}
{'loss': 4.0246, 'learning_rate': 0.00017762382427252167, 'epoch': 0.72}
{'loss': 2.3592, 'learning_rate': 0.00017732008815642697, 'epoch': 0.73}
{'loss': 4.813, 'learning_rate': 0.00017701456787229804, 'epoch': 0.73}
{'loss': 5.6093, 'learning_rate': 0.00017670727047004308, 'epoch': 0.74}
{'loss': 5.1756, 'learning_rate': 0.00017639820304057743, 'epoch': 0.74}
{'loss': 4.9173, 'learning_rate': 0.00017608737271566005, 'epoch': 0.75}
{'loss': 2.6808, 'learning_rate': 0.00017577478666772883, 'epoch': 0.75}
{'loss': 3.3951, 'learning_rate': 0.00017546045210973507, 'epoch': 0.76}
{'loss': 1.974, 'learning_rate': 0.0001751443762949772, 'epoch': 0.76}
{'loss': 1.0353, 'learning_rate': 0.00017482656651693324, 'epoch': 0.76}
{'loss': 0.9969, 'learning_rate': 0.00017450703010909264, 'epoch': 0.77}
{'loss': 0.3625, 'learning_rate': 0.00017418577444478688, 'epoch': 0.77}
{'loss': 1.1091, 'learning_rate': 0.0001738628069370195, 'epoch': 0.78}
{'loss': 0.2271, 'learning_rate': 0.00017353813503829502, 'epoch': 0.78}
{'loss': 0.3346, 'learning_rate': 0.00017321176624044687, 'epoch': 0.79}
{'loss': 0.742, 'learning_rate': 0.0001728837080744646, 'epoch': 0.79}
{'loss': 0.4205, 'learning_rate': 0.00017255396811032014, 'epoch': 0.8}
{'loss': 0.4016, 'learning_rate': 0.00017222255395679296, 'epoch': 0.8}
{'loss': 0.343, 'learning_rate': 0.0001718894732612947, 'epoch': 0.8}
{'loss': 0.2061, 'learning_rate': 0.0001715547337096925, 'epoch': 0.81}
{'loss': 0.2457, 'learning_rate': 0.00017121834302613186, 'epoch': 0.81}
{'loss': 0.2714, 'learning_rate': 0.0001708803089728583, 'epoch': 0.82}
{'loss': 0.0962, 'learning_rate': 0.0001705406393500381, 'epoch': 0.82}
{'loss': 0.1263, 'learning_rate': 0.00017019934199557867, 'epoch': 0.83}
{'loss': 0.3108, 'learning_rate': 0.00016985642478494728, 'epoch': 0.83}
{'loss': 0.6836, 'learning_rate': 0.00016951189563098966, 'epoch': 0.84}
{'loss': 0.2362, 'learning_rate': 0.00016916576248374719, 'epoch': 0.84}
{'loss': 0.1596, 'learning_rate': 0.00016881803333027362, 'epoch': 0.84}
{'loss': 0.2393, 'learning_rate': 0.00016846871619445063, 'epoch': 0.85}
{'loss': 0.2331, 'learning_rate': 0.0001681178191368027, 'epoch': 0.85}
{'loss': 0.3241, 'learning_rate': 0.00016776535025431132, 'epoch': 0.86}
{'loss': 0.2555, 'learning_rate': 0.00016741131768022776, 'epoch': 0.86}
{'loss': 0.2514, 'learning_rate': 0.00016705572958388576, 'epoch': 0.87}
{'loss': 0.3933, 'learning_rate': 0.00016669859417051282, 'epoch': 0.87}
{'loss': 0.1819, 'learning_rate': 0.00016633991968104095, 'epoch': 0.88}
{'loss': 0.4233, 'learning_rate': 0.0001659797143919165, 'epoch': 0.88}
{'loss': 0.1423, 'learning_rate': 0.00016561798661490903, 'epoch': 0.88}
{'loss': 0.3952, 'learning_rate': 0.00016525474469691984, 'epoch': 0.89}
{'loss': 0.3096, 'learning_rate': 0.00016488999701978903, 'epoch': 0.89}
{'loss': 0.4748, 'learning_rate': 0.0001645237520001023, 'epoch': 0.9}
{'loss': 0.1777, 'learning_rate': 0.0001641560180889966, 'epoch': 0.9}
{'loss': 0.0932, 'learning_rate': 0.00016378680377196524, 'epoch': 0.91}
{'loss': 0.1234, 'learning_rate': 0.000163416117568662, 'epoch': 0.91}
{'loss': 0.3935, 'learning_rate': 0.0001630439680327046, 'epoch': 0.92}
{'loss': 0.3072, 'learning_rate': 0.00016267036375147725, 'epoch': 0.92}
{'loss': 0.4834, 'learning_rate': 0.00016229531334593258, 'epoch': 0.92}
{'loss': 0.2008, 'learning_rate': 0.0001619188254703927, 'epoch': 0.93}
{'loss': 0.2125, 'learning_rate': 0.0001615409088123493, 'epoch': 0.93}
{'loss': 0.2331, 'learning_rate': 0.00016116157209226353, 'epoch': 0.94}
{'loss': 0.2656, 'learning_rate': 0.00016078082406336463, 'epoch': 0.94}
{'loss': 0.1737, 'learning_rate': 0.00016039867351144778, 'epoch': 0.95}
{'loss': 0.3529, 'learning_rate': 0.00016001512925467153, 'epoch': 0.95}
{'loss': 0.1755, 'learning_rate': 0.00015963020014335438, 'epoch': 0.96}
{'loss': 0.1743, 'learning_rate': 0.00015924389505977038, 'epoch': 0.96}
{'loss': 0.1502, 'learning_rate': 0.0001588562229179443, 'epoch': 0.96}
{'loss': 0.3162, 'learning_rate': 0.00015846719266344596, 'epoch': 0.97}
{'loss': 0.3275, 'learning_rate': 0.0001580768132731837, 'epoch': 0.97}
{'loss': 0.1851, 'learning_rate': 0.00015768509375519726, 'epoch': 0.98}
{'loss': 0.3275, 'learning_rate': 0.00015729204314845002, 'epoch': 0.98}
{'loss': 0.1878, 'learning_rate': 0.00015689767052262026, 'epoch': 0.99}
{'loss': 0.1669, 'learning_rate': 0.00015650198497789203, 'epoch': 0.99}
{'loss': 0.3043, 'learning_rate': 0.00015610499564474512, 'epoch': 1.0}
{'loss': 0.1047, 'learning_rate': 0.00015570671168374438, 'epoch': 1.0}
{'loss': 0.0826, 'learning_rate': 0.0001553071422853282, 'epoch': 1.0}
{'loss': 0.1497, 'learning_rate': 0.00015490629666959667, 'epoch': 1.01}
{'loss': 0.2283, 'learning_rate': 0.0001545041840860986, 'epoch': 1.01}
{'loss': 0.1381, 'learning_rate': 0.0001541008138136183, 'epoch': 1.02}
{'loss': 0.1543, 'learning_rate': 0.0001536961951599613, 'epoch': 1.02}
{'loss': 0.1804, 'learning_rate': 0.00015329033746173975, 'epoch': 1.03}
{'loss': 0.1811, 'learning_rate': 0.00015288325008415668, 'epoch': 1.03}
{'loss': 0.0948, 'learning_rate': 0.00015247494242079024, 'epoch': 1.04}
{'loss': 0.1067, 'learning_rate': 0.0001520654238933767, 'epoch': 1.04}
{'loss': 0.0945, 'learning_rate': 0.00015165470395159313, 'epoch': 1.04}
{'loss': 0.1551, 'learning_rate': 0.00015124279207283942, 'epoch': 1.05}
{'loss': 0.2507, 'learning_rate': 0.00015082969776201947, 'epoch': 1.05}
{'loss': 0.1149, 'learning_rate': 0.00015041543055132185, 'epoch': 1.06}
{'loss': 0.052, 'learning_rate': 0.00015000000000000001, 'epoch': 1.06}
{'loss': 0.1061, 'learning_rate': 0.00014958341569415147, 'epoch': 1.07}
{'loss': 0.1119, 'learning_rate': 0.00014916568724649687, 'epoch': 1.07}
{'loss': 0.0995, 'learning_rate': 0.0001487468242961579, 'epoch': 1.08}
{'loss': 0.1043, 'learning_rate': 0.0001483268365084351, 'epoch': 1.08}
{'loss': 0.1876, 'learning_rate': 0.00014790573357458464, 'epoch': 1.08}
{'loss': 0.1315, 'learning_rate': 0.00014748352521159493, 'epoch': 1.09}
{'loss': 0.2414, 'learning_rate': 0.00014706022116196208, 'epoch': 1.09}
{'loss': 0.1687, 'learning_rate': 0.0001466358311934654, 'epoch': 1.1}
{'loss': 0.1725, 'learning_rate': 0.00014621036509894183, 'epoch': 1.1}
{'loss': 0.0804, 'learning_rate': 0.00014578383269606005, 'epoch': 1.11}
{'loss': 0.1508, 'learning_rate': 0.00014535624382709382, 'epoch': 1.11}
{'loss': 0.1052, 'learning_rate': 0.00014492760835869503, 'epoch': 1.12}
{'loss': 0.0741, 'learning_rate': 0.00014449793618166593, 'epoch': 1.12}
{'loss': 0.3617, 'learning_rate': 0.00014406723721073088, 'epoch': 1.12}
{'loss': 0.2789, 'learning_rate': 0.00014363552138430764, 'epoch': 1.13}
{'loss': 0.0527, 'learning_rate': 0.00014320279866427796, 'epoch': 1.13}
{'loss': 0.0351, 'learning_rate': 0.00014276907903575787, 'epoch': 1.14}
{'loss': 0.1157, 'learning_rate': 0.00014233437250686694, 'epoch': 1.14}
{'loss': 0.0727, 'learning_rate': 0.00014189868910849778, 'epoch': 1.15}
{'loss': 0.0497, 'learning_rate': 0.00014146203889408418, 'epoch': 1.15}
{'loss': 0.0312, 'learning_rate': 0.0001410244319393694, 'epoch': 1.16}
{'loss': 0.1039, 'learning_rate': 0.00014058587834217355, 'epoch': 1.16}
{'loss': 0.0599, 'learning_rate': 0.00014014638822216062, 'epoch': 1.16}
{'loss': 0.2571, 'learning_rate': 0.0001397059717206048, 'epoch': 1.17}
{'loss': 0.0411, 'learning_rate': 0.0001392646390001569, 'epoch': 1.17}
{'loss': 0.1167, 'learning_rate': 0.00013882240024460927, 'epoch': 1.18}
{'loss': 0.059, 'learning_rate': 0.00013837926565866127, 'epoch': 1.18}
{'loss': 0.1145, 'learning_rate': 0.00013793524546768356, 'epoch': 1.19}
{'loss': 0.0581, 'learning_rate': 0.00013749034991748232, 'epoch': 1.19}
{'loss': 0.1293, 'learning_rate': 0.0001370445892740626, 'epoch': 1.2}
{'loss': 0.0356, 'learning_rate': 0.0001365979738233916, 'epoch': 1.2}
{'loss': 0.0603, 'learning_rate': 0.0001361505138711613, 'epoch': 1.2}
{'loss': 0.1581, 'learning_rate': 0.0001357022197425506, 'epoch': 1.21}
{'loss': 0.2573, 'learning_rate': 0.00013525310178198705, 'epoch': 1.21}
{'loss': 0.0162, 'learning_rate': 0.00013480317035290836, 'epoch': 1.22}
{'loss': 0.0573, 'learning_rate': 0.00013435243583752294, 'epoch': 1.22}
{'loss': 0.0306, 'learning_rate': 0.00013390090863657047, 'epoch': 1.23}
{'loss': 0.078, 'learning_rate': 0.00013344859916908207, 'epoch': 1.23}
{'loss': 0.2428, 'learning_rate': 0.00013299551787213963, 'epoch': 1.24}
{'loss': 0.0585, 'learning_rate': 0.00013254167520063509, 'epoch': 1.24}
{'loss': 0.1754, 'learning_rate': 0.00013208708162702922, 'epoch': 1.24}
{'loss': 0.0573, 'learning_rate': 0.00013163174764110983, 'epoch': 1.25}
{'loss': 0.2558, 'learning_rate': 0.00013117568374974988, 'epoch': 1.25}
{'loss': 0.0305, 'learning_rate': 0.00013071890047666499, 'epoch': 1.26}
{'loss': 0.052, 'learning_rate': 0.0001302614083621705, 'epoch': 1.26}
{'loss': 0.0679, 'learning_rate': 0.00012980321796293836, 'epoch': 1.27}
{'loss': 0.125, 'learning_rate': 0.00012934433985175358, 'epoch': 1.27}
{'loss': 0.0573, 'learning_rate': 0.0001288847846172701, 'epoch': 1.28}
{'loss': 0.0845, 'learning_rate': 0.0001284245628637665, 'epoch': 1.28}
{'loss': 0.0638, 'learning_rate': 0.00012796368521090143, 'epoch': 1.28}
{'loss': 0.0794, 'learning_rate': 0.0001275021622934685, 'epoch': 1.29}
{'loss': 0.0615, 'learning_rate': 0.0001270400047611508, 'epoch': 1.29}
{'loss': 0.0376, 'learning_rate': 0.0001265772232782752, 'epoch': 1.3}
{'loss': 0.0285, 'learning_rate': 0.0001261138285235663, 'epoch': 1.3}
{'loss': 0.2038, 'learning_rate': 0.00012564983118990011, 'epoch': 1.31}
{'loss': 0.088, 'learning_rate': 0.000125185241984057, 'epoch': 1.31}
{'loss': 0.0878, 'learning_rate': 0.000124720071626475, 'epoch': 1.32}
{'loss': 0.0461, 'learning_rate': 0.00012425433085100224, 'epoch': 1.32}
{'loss': 0.0203, 'learning_rate': 0.00012378803040464929, 'epoch': 1.32}
{'loss': 0.1463, 'learning_rate': 0.0001233211810473411, 'epoch': 1.33}
{'loss': 0.0198, 'learning_rate': 0.00012285379355166893, 'epoch': 1.33}
{'loss': 0.0261, 'learning_rate': 0.00012238587870264152, 'epoch': 1.34}
{'loss': 0.0084, 'learning_rate': 0.00012191744729743635, 'epoch': 1.34}
{'loss': 0.0691, 'learning_rate': 0.00012144851014515055, 'epoch': 1.35}
{'loss': 0.1193, 'learning_rate': 0.00012097907806655136, 'epoch': 1.35}
{'loss': 0.0068, 'learning_rate': 0.00012050916189382646, 'epoch': 1.36}
{'loss': 0.0281, 'learning_rate': 0.00012003877247033411, 'epoch': 1.36}
{'loss': 0.2724, 'learning_rate': 0.0001195679206503528, 'epoch': 1.36}
{'loss': 0.059, 'learning_rate': 0.00011909661729883097, 'epoch': 1.37}
{'loss': 0.0186, 'learning_rate': 0.00011862487329113606, 'epoch': 1.37}
{'loss': 0.03, 'learning_rate': 0.0001181526995128038, 'epoch': 1.38}
{'loss': 0.0397, 'learning_rate': 0.00011768010685928685, 'epoch': 1.38}
{'loss': 0.2244, 'learning_rate': 0.00011720710623570351, 'epoch': 1.39}
{'loss': 0.1096, 'learning_rate': 0.00011673370855658592, 'epoch': 1.39}
{'loss': 0.0125, 'learning_rate': 0.00011625992474562846, 'epoch': 1.4}
{'loss': 0.0047, 'learning_rate': 0.0001157857657354354, 'epoch': 1.4}
{'loss': 0.0658, 'learning_rate': 0.0001153112424672689, 'epoch': 1.4}
{'loss': 0.0266, 'learning_rate': 0.00011483636589079627, 'epoch': 1.41}
{'loss': 0.0611, 'learning_rate': 0.00011436114696383749, 'epoch': 1.41}
{'loss': 0.042, 'learning_rate': 0.0001138855966521124, 'epoch': 1.42}
{'loss': 0.0974, 'learning_rate': 0.00011340972592898744, 'epoch': 1.42}
